Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualVariableOperatingCost,AnnualTechnologyEmission,AnnualFixedOperatingCost,CapitalInvestmentStorage,NewCapacity,TotalCapacityAnnual,CapitalInvestment,TotalTechnologyAnnualActivity
Scenario1,0,RE1,,BACKSTOP,,2019,,,,,,,,,,,,,,0.2929575216660606,,,
Scenario1,0,RE1,,BACKSTOP,,2020,,,,,,,,,,,,,,0.3359523019568895,,,
Scenario1,0,RE1,,BACKSTOP,,2021,,,,,,,,,,,,,,0.4467050296059853,,,
Scenario1,0,RE1,,BACKSTOP,,2022,,,,,,,,,,,,,,0.4477423914208422,,,
Scenario1,0,RE1,,BACKSTOP,,2023,,,,,,,,,,,,,,0.4830746621471705,,,
Scenario1,0,RE1,,BACKSTOP,,2024,,,,,,,,,,,,,,0.5276176794079499,,,
Scenario1,0,RE1,,BACKSTOP,,2025,,,,,,,,,,,,,,0.5061455367985314,,,
Scenario1,0,RE1,,BACKSTOP,,2026,,,,,,,,,,,,,,0.0,,,
Scenario1,0,RE1,,BACKSTOP,,2027,,,,,,,,,,,,,,0.0,,,
Scenario1,0,RE1,,BACKSTOP,,2028,,,,,,,,,,,,,,0.0,,,
Scenario1,0,RE1,,BACKSTOP,,2029,,,,,,,,,,,,,,0.0,,,
Scenario1,0,RE1,,BACKSTOP,,2030,,,,,,,,,,,,,,0.0,,,
Scenario1,0,RE1,,BACKSTOP,,2031,,,,,,,,,,,,,,0.0,,,
Scenario1,0,RE1,,BACKSTOP,,2032,,,,,,,,,,,,,,0.0,,,
Scenario1,0,RE1,,BACKSTOP,,2033,,,,,,,,,,,,,,0.0,,,
Scenario1,0,RE1,,BACKSTOP,,2034,,,,,,,,,,,,,,0.0,,,
